Shrt_Desc,Energy,Carbs,Fat,Protein,Fiber,Sugars,Monounsaturated fat,Polyunsaturated fat,Saturated fat,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Sodium,Zinc,Vitamin B1 (Thiamin),Vitamin B2 (Riboflavin),Vitamin B3 (Niacin),Vitamin B4 (Pantothenic acid),Vitamin B6,Vitamin B9 (Folate),Vitamin B12,Vitamin A,Vitamin C,Vitamin D (D2 + D3),Vitamin E,Vitamin K,Cystine,Histidine,Isoleucine,Leucine,Lysine,Methionine,Phenylalanine,Threonine,Tryptophan,Tyrosine,Valine,Lycopene,Lutein + zeaxanthin,alpha-Carotene,beta-Carotene,beta-Cryptoxanthin,Category
"Beans, adzuki, mature seeds, raw",38.8,31.4,0.8,35.5,33.4,,0.2,0.5,1.0,6.6,121.6,62.3,30.2,75.2,54.4,26.7,5.6,0.3,45.8,37.9,16.9,16.4,29.4,27.0,155.5,0.0,0.1,0.0,0.0,,,27.7,53.5,59.5,56.7,56.3,31.6,91.1,48.1,54.6,51.2,60.9,,,,,,legumes
"Beans, black, mature seeds, raw",40.1,31.2,2.2,38.6,40.8,8.5,0.6,2.8,1.8,12.3,93.4,62.7,40.7,46.1,50.3,31.6,5.8,0.3,33.2,75.0,14.8,12.2,18.0,22.0,111.0,0.0,0.0,0.0,0.0,1.4,4.7,35.3,61.3,71.7,58.7,55.8,48.9,101.1,64.9,73.1,52.6,67.3,0.0,0.0,0.0,0.0,0.0,legumes
"Beans, kidney, all types, mature seeds, raw",39.2,30.0,1.3,42.1,65.5,8.9,0.3,2.1,0.6,14.3,106.4,102.5,33.3,44.4,58.1,29.9,5.8,1.6,25.4,44.1,16.8,12.9,15.6,30.5,98.5,0.0,0.0,7.5,0.0,1.5,15.8,38.5,66.9,78.3,64.0,60.8,53.4,110.4,70.9,79.7,57.5,73.4,0.0,0.0,0.0,0.0,0.0,legumes
"Beans, pinto, mature seeds, raw",40.9,31.3,1.9,38.2,40.8,8.4,1.0,1.8,1.2,11.3,99.2,63.4,41.9,49.9,58.7,29.6,50.7,0.8,20.7,59.4,16.3,7.3,15.7,36.5,131.2,0.0,0.0,10.5,0.0,1.4,4.7,28.1,56.7,65.5,53.0,51.0,38.9,94.8,57.9,67.7,37.0,59.4,0.0,0.0,0.0,0.0,0.0,legumes
"Beans, small white, mature seeds, raw",39.6,31.1,1.8,37.7,65.5,,0.5,2.3,1.5,17.3,70.6,96.6,43.6,55.6,63.6,32.8,23.3,0.8,25.5,61.9,15.9,8.4,14.6,33.8,96.5,0.0,0.0,0.0,0.0,,,34.6,60.0,70.1,57.3,54.5,47.7,98.8,63.4,71.4,51.4,65.7,,,,,,legumes
"Soybeans, mature seeds, raw",52.5,15.1,30.7,65.2,24.5,29.3,20.0,51.2,14.4,27.7,184.2,196.2,66.7,109.4,100.6,38.2,32.4,0.1,44.5,72.8,66.9,10.1,15.9,29.0,93.8,0.0,0.1,10.0,0.0,5.7,39.2,98.5,111.9,148.2,112.6,101.7,82.3,183.7,126.1,168.9,133.2,120.8,0.0,0.0,0.0,0.3,0.0,legumes
"Broadbeans (fava beans), mature seeds, raw",40.1,29.1,2.4,46.6,65.8,22.8,1.4,2.8,1.3,10.3,91.6,83.8,45.7,70.7,60.1,22.6,14.9,0.9,28.5,46.3,25.6,17.7,19.5,28.2,105.8,0.0,0.3,2.3,0.0,0.3,7.5,50.2,67.8,79.2,66.8,62.8,32.0,95.5,66.3,70.6,71.6,69.1,0.0,0.0,0.0,0.7,0.0,legumes
"Peas, green, raw",9.5,7.2,0.6,9.7,15.0,22.7,0.2,0.8,0.4,2.5,19.6,18.4,7.9,17.8,15.4,5.2,3.3,0.3,11.3,22.2,10.2,13.1,2.1,13.0,16.2,0.0,4.2,66.7,0.0,0.9,20.7,4.8,10.9,14.7,11.0,11.9,12.3,17.3,14.5,10.6,9.9,14.0,0.0,20.6,2.6,10.0,0.0,legumes
"Chickpeas (garbanzo beans, bengal gram), mature seeds, raw",44.5,31.5,9.3,36.6,32.1,42.8,6.3,12.4,3.0,5.7,72.9,53.9,18.8,926.3,36.0,15.3,0.0,1.6,25.1,39.8,16.3,9.6,31.8,41.2,139.2,0.0,0.3,6.7,0.0,5.5,7.5,42.0,57.8,66.3,49.8,51.8,40.6,95.5,54.7,57.1,44.3,51.5,0.0,0.0,0.0,0.9,0.0,legumes
"Peas, green, split, mature seeds, raw",42.8,30.8,6.0,41.3,58.4,12.6,2.8,4.6,2.0,4.6,89.9,59.1,15.0,51.7,47.7,18.1,19.5,0.3,31.7,59.9,18.8,22.6,19.2,10.8,3.8,0.0,0.8,3.0,0.0,0.8,13.2,41.1,59.8,73.9,57.1,66.6,29.3,99.7,58.1,45.4,44.8,61.6,0.0,0.0,0.0,2.0,0.0,legumes
"Nuts, brazilnuts, dried, unblanched",77.6,5.9,103.2,25.6,19.7,9.3,108.5,110.9,80.7,16.0,193.7,30.4,89.5,53.2,103.6,14.0,3485.5,0.2,36.9,51.4,2.7,1.8,3.7,7.8,5.5,0.0,0.0,1.2,0.0,37.7,0.0,46.0,41.7,38.9,40.5,18.4,169.0,55.3,26.1,38.6,36.0,45.2,0.0,0.0,0.0,0.0,0.0,nuts
"Nuts, cashew nuts, raw",65.2,15.1,67.5,32.5,8.7,23.6,108.2,35.7,38.9,3.7,243.9,83.5,69.5,72.0,84.7,14.0,36.2,0.8,52.5,35.2,4.5,6.6,17.3,32.1,6.2,0.0,0.0,0.8,0.0,6.0,28.4,59.1,46.5,59.3,50.1,34.9,54.4,82.3,49.1,82.0,44.0,65.1,0.0,0.2,0.0,0.0,0.0,nuts
"Nuts, hazelnuts or filberts",74.0,8.4,93.5,26.7,25.5,17.4,207.5,36.0,22.3,11.4,191.7,58.8,38.8,268.5,41.4,14.5,4.4,0.0,22.3,53.6,8.7,11.2,18.4,43.3,28.2,0.0,0.1,10.5,0.0,100.2,11.8,41.7,44.1,41.0,36.2,15.8,33.2,57.4,35.5,55.1,31.3,41.7,0.0,0.8,0.4,0.2,0.0,nuts
"Nuts, macadamia nuts, raw",84.6,6.9,116.6,14.1,22.6,18.3,267.6,6.8,60.3,8.5,84.0,46.1,31.0,179.6,26.9,7.8,6.5,0.3,11.8,99.6,12.5,15.5,15.2,21.2,2.8,0.0,0.0,2.0,0.0,3.6,,0.9,19.9,23.6,20.5,0.7,3.5,57.6,26.4,19.1,44.2,21.6,,,,,,nuts
"Nuts, pine nuts, dried",79.3,6.5,105.2,24.4,9.7,14.4,85.3,154.9,24.5,1.6,147.1,69.1,59.8,382.7,82.1,12.7,1.3,0.1,58.6,30.3,17.5,27.4,6.3,7.2,8.5,0.0,0.1,1.3,0.0,62.2,44.9,43.5,34.8,40.8,33.7,20.3,38.9,45.4,26.4,30.6,44.1,40.9,0.0,0.1,0.0,0.4,0.0,nuts
"Nuts, pistachio nuts, raw",66.0,13.6,69.7,36.0,27.9,30.6,105.7,65.4,29.5,10.5,144.4,49.0,28.8,52.2,70.0,21.8,12.7,0.1,20.0,72.5,12.3,8.1,10.4,130.8,12.8,0.0,2.9,9.3,0.0,19.1,,43.9,52.2,68.9,54.6,42.8,54.1,94.5,48.9,71.7,44.1,74.3,,24.2,1.2,6.8,0.0,nuts
"Nuts, walnuts, english",77.1,6.9,100.3,27.2,17.6,10.4,40.6,214.4,30.6,9.8,176.2,36.4,37.6,148.4,49.4,9.4,8.9,0.1,28.1,28.4,11.5,7.0,11.4,41.3,24.5,0.0,0.1,2.2,0.0,4.7,2.2,31.3,39.9,47.0,39.8,15.9,35.5,61.6,42.6,48.6,35.2,44.8,0.0,0.1,0.0,0.3,0.0,nuts
"Nuts, coconut meat, dried (desiccated), not sweetened",77.8,11.8,99.3,12.3,42.9,29.4,12.5,3.2,286.1,2.6,88.4,41.5,21.4,119.3,29.4,11.6,33.6,2.5,18.3,5.0,7.7,3.8,16.0,23.1,2.2,0.0,0.0,2.5,0.0,2.9,0.2,20.5,16.1,20.3,17.4,11.4,19.4,30.2,17.9,23.1,18.4,24.8,0.0,0.0,0.0,0.0,0.0,nuts
"Peanuts, all types, raw",66.8,8.1,75.8,46.1,22.4,18.9,111.0,70.7,31.4,9.2,127.1,57.2,40.0,84.1,53.7,15.0,13.1,1.2,29.7,53.3,10.4,75.4,35.3,26.8,60.0,0.0,0.0,0.0,0.0,55.5,0.0,49.8,66.5,68.2,56.9,34.8,47.7,119.2,63.1,71.4,90.8,64.4,0.0,0.0,0.0,0.0,0.0,nuts
"Apples, raw, with skin",6.1,6.9,0.3,0.5,6.3,41.6,0.0,0.2,0.1,0.6,3.0,1.5,1.2,1.5,1.6,2.3,0.0,0.1,0.4,1.4,2.0,0.6,1.2,3.2,0.8,0.0,0.3,7.7,0.0,1.2,1.8,0.2,0.5,0.5,0.4,0.5,0.2,0.5,0.4,0.3,0.1,0.7,0.0,0.2,0.0,0.6,3.7,fruits
"Pineapple, raw, all varieties",5.9,6.6,0.2,1.0,3.7,39.4,0.1,0.2,0.0,1.3,12.2,3.6,2.9,40.3,1.1,2.3,0.2,0.1,1.1,6.6,2.5,3.1,4.3,8.6,4.5,0.0,0.3,79.7,0.0,0.1,0.6,2.1,1.0,1.4,0.8,1.0,1.8,1.8,1.4,1.4,1.6,1.4,0.0,0.0,0.0,0.8,0.0,fruits
"Plums, raw",5.4,5.7,0.4,1.2,3.7,39.7,0.6,0.2,0.1,0.6,6.3,2.1,1.7,2.3,2.3,3.3,0.0,0.0,0.9,2.3,2.0,2.6,2.7,2.2,1.2,0.0,1.9,15.8,0.0,1.7,5.3,0.3,0.9,1.1,0.5,0.6,1.2,1.2,0.7,2.6,0.7,1.0,0.0,0.6,0.0,4.2,11.7,fruits
"Pears, raw",6.7,7.6,0.2,0.6,8.2,39.0,0.4,0.4,0.1,0.9,9.1,2.2,1.7,2.1,1.7,2.5,0.2,0.1,0.9,1.0,2.0,1.0,1.0,2.2,1.8,0.0,0.1,7.2,0.0,0.8,3.7,0.3,0.2,0.8,0.6,0.6,0.3,1.0,0.8,0.6,0.2,1.0,0.0,0.4,0.1,0.3,0.7,fruits
"Apricots, raw",5.7,5.6,0.6,2.5,5.3,37.0,0.8,0.4,0.1,1.3,8.7,4.9,2.4,3.3,3.3,5.5,0.2,0.1,1.8,2.5,3.1,3.8,4.8,4.2,2.2,0.0,10.7,16.7,0.0,5.9,2.8,0.5,2.8,3.1,2.6,3.6,0.9,4.5,3.4,4.3,2.5,2.8,0.0,0.7,2.4,24.3,34.7,fruits
"Avocados, raw, all commercial varieties",18.9,4.3,22.6,3.6,17.6,2.6,44.5,8.3,10.6,1.2,21.1,6.9,6.9,6.2,7.4,10.3,0.7,0.5,5.8,5.6,10.0,10.9,27.8,19.8,20.2,0.0,0.8,16.7,0.0,13.8,17.5,4.1,5.0,6.3,4.9,5.0,5.7,8.4,5.2,7.1,4.2,6.4,0.0,2.3,3.0,1.4,9.3,fruits
"Blackberries, frozen, unsweetened",7.5,7.8,0.7,2.1,13.2,42.7,0.2,1.1,0.1,2.9,13.3,10.0,5.2,53.2,4.3,3.0,0.7,0.1,2.3,2.4,3.5,7.5,3.0,4.7,8.5,0.0,0.7,5.2,0.0,7.8,16.5,,,,,,,,,,,,0.0,1.0,0.0,1.5,0.0,fruits
"Blueberries, raw",6.8,7.2,0.5,1.3,6.3,39.8,0.2,0.7,0.1,0.6,6.3,3.5,1.4,14.6,1.7,1.6,0.2,0.1,1.5,3.1,3.2,2.6,2.5,4.0,1.5,0.0,0.3,16.2,0.0,3.8,16.1,1.2,1.1,1.7,1.5,0.5,1.8,2.3,1.4,0.9,0.8,1.8,0.0,0.7,0.0,0.7,0.0,fruits
"Cranberries, raw",5.4,6.0,0.2,0.8,9.5,17.1,0.1,0.2,0.0,0.8,6.2,2.9,1.4,11.6,1.6,1.7,0.2,0.1,0.8,1.0,1.5,0.6,5.9,4.4,0.2,0.0,0.3,23.3,0.0,8.8,4.2,0.5,1.8,2.5,1.8,1.5,0.5,3.1,2.0,0.9,2.8,2.7,0.0,0.8,0.0,0.8,0.0,fruits
"Raspberries, raw",6.2,6.0,1.0,2.1,17.1,17.7,0.3,1.7,0.1,2.5,10.0,8.6,5.2,29.1,4.1,3.2,0.4,0.1,3.8,2.7,2.9,3.7,6.6,4.2,5.2,0.0,0.2,43.7,0.0,5.8,6.5,,,,,,,,,,,,0.0,1.1,2.0,0.3,0.0,fruits
"Clementines, raw",5.6,6.0,0.2,1.5,4.5,36.7,,,,3.0,4.8,1.8,2.4,1.0,3.0,3.8,0.2,0.1,0.5,7.2,2.3,4.0,3.0,5.8,6.0,,,81.3,0.0,1.3,0.0,,,,,,,,,,,,,,,,,fruits
"Strawberries, raw",3.8,3.8,0.5,1.2,5.3,19.6,0.2,0.7,0.1,1.6,5.3,5.1,3.1,16.8,3.4,3.3,0.7,0.1,1.3,2.0,1.7,2.4,2.5,3.6,6.0,0.0,0.1,98.0,0.0,1.9,1.8,0.9,1.2,1.2,1.2,1.0,0.3,1.6,1.4,2.3,1.9,1.1,0.0,0.2,0.0,0.2,0.0,fruits
"Dates, medjool",32.7,37.5,0.2,3.2,17.6,265.9,,,,6.4,40.2,11.2,12.9,12.9,8.9,14.8,,0.1,4.0,4.2,4.6,10.1,16.1,19.2,3.8,,0.8,0.0,0.0,,2.2,6.9,3.0,3.4,2.8,2.0,2.6,4.2,3.0,2.0,1.4,3.9,0.0,0.2,0.0,2.0,0.0,fruits
"Plantains, green, raw",17.9,18.3,0.1,2.2,5.8,9.2,0.1,0.1,0.6,0.2,12.9,9.4,9.8,4.7,4.4,9.2,,0.1,1.6,8.3,7.7,3.4,10.6,5.4,7.0,,,33.7,,,,,,,,,,,,,,,,,,,,fruits
"Pomegranates, raw",9.8,9.4,1.8,3.0,10.5,54.7,0.4,0.4,0.6,1.0,17.6,3.8,2.9,5.2,5.1,5.0,0.9,0.2,3.2,5.6,4.1,1.8,7.5,5.8,9.5,0.0,0.0,17.0,0.0,4.0,13.7,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,fruits
"Bananas, raw",10.5,11.4,0.5,1.9,6.8,48.9,0.1,0.3,0.6,0.5,8.7,3.2,6.4,11.7,3.1,7.6,1.8,0.1,1.4,2.6,5.6,4.2,6.7,28.2,5.0,0.0,0.3,14.5,0.0,0.7,0.4,1.4,7.9,2.1,2.3,1.9,1.2,4.2,2.0,2.6,0.8,2.8,0.0,0.2,3.1,0.6,0.0,fruits
"Plantains, yellow, raw",14.4,15.9,0.5,2.3,4.5,70.0,0.0,0.0,0.0,0.3,8.2,6.9,8.6,6.3,4.6,10.4,2.7,0.3,1.7,5.2,5.8,4.2,6.0,18.6,5.5,0.0,6.2,30.7,0.0,0.0,24.0,,,,,,,,,,,,0.0,0.2,54.8,10.2,0.0,fruits
"Kiwifruit, green, raw",7.2,7.3,0.8,2.0,7.9,36.0,0.2,1.3,0.1,3.4,14.4,3.9,4.0,4.3,4.9,6.6,0.4,0.2,1.3,2.3,1.9,2.1,3.7,4.8,6.2,0.0,0.4,154.5,0.0,9.7,33.6,4.7,2.8,3.8,2.2,2.3,3.6,3.8,3.4,4.3,2.9,3.4,0.0,1.0,0.0,1.2,0.0,fruits
"Figs, dried, uncooked",29.3,31.9,1.4,5.9,25.8,191.7,0.7,1.6,0.7,16.2,31.9,25.4,16.2,22.2,9.6,14.5,1.1,0.7,5.0,7.1,6.3,3.9,8.7,8.2,2.2,0.0,0.0,2.0,0.0,2.3,13.0,5.4,3.8,6.7,4.4,3.3,5.1,6.6,6.1,5.7,3.5,7.3,0.0,0.3,0.0,0.1,0.0,fruits
"Oranges, raw, all commercial varieties",5.5,5.9,0.2,1.7,6.3,37.4,0.1,0.1,0.1,4.0,5.0,1.2,2.4,1.1,2.0,3.9,0.9,0.0,0.6,7.2,3.1,1.8,5.0,4.6,7.5,0.0,1.2,88.7,0.0,1.2,0.0,1.5,1.8,1.9,0.8,1.8,3.0,2.7,1.1,2.6,1.4,2.4,0.0,1.1,1.4,1.6,38.7,fruits
"Apricots, dried, sulfured, uncooked",28.4,31.3,0.8,6.1,19.2,213.8,0.3,0.3,0.1,5.5,38.1,33.2,7.6,10.2,10.1,24.7,4.0,0.7,3.5,1.2,5.7,16.2,10.3,11.0,2.5,0.0,20.0,1.7,0.0,28.9,2.6,2.9,4.8,4.7,3.6,3.1,2.3,5.4,5.2,4.6,3.4,4.6,0.0,0.0,0.0,48.1,0.0,fruits
"Olives, ripe, canned (small-extra large)",13.7,3.0,16.8,1.5,4.2,0.0,34.8,2.9,11.4,8.8,27.9,78.5,1.0,0.9,0.4,0.2,1.6,49.0,2.0,0.2,0.0,0.2,0.3,0.7,0.0,0.0,1.9,1.5,0.0,11.0,1.2,,2.3,2.3,1.7,1.2,1.8,2.5,1.9,,2.0,2.3,0.0,4.2,0.0,4.4,0.0,fruits
"Raisins, dark, seedless",35.2,39.7,0.4,5.9,11.8,260.7,0.1,0.2,0.5,6.2,30.2,22.4,8.6,12.2,14.0,15.8,1.1,1.7,3.3,8.8,9.6,4.8,,13.4,1.2,0.0,0.0,3.8,0.0,0.8,2.9,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,fruits
